,Outputs
263,131.21023559570312
264,119.80830383300781
265,119.914794921875
266,167.58938598632812
267,121.42817687988281
268,120.69033813476562
269,191.70050048828125
270,247.20352172851562
271,250.21826171875
272,122.38395690917969
273,296.5995788574219
274,247.6072540283203
275,234.1773681640625
276,336.7135009765625
277,222.8192901611328
278,194.34877014160156
279,201.8922882080078
280,140.71282958984375
281,120.659912109375
282,122.95051574707031
283,121.70274353027344
284,311.1355895996094
285,137.42190551757812
286,159.19236755371094
287,121.09481811523438
288,296.1107482910156
289,120.63847351074219
290,121.82032775878906
291,163.02308654785156
292,239.1656036376953
293,122.16253662109375
294,153.8169708251953
295,153.8169708251953
296,153.8169708251953
297,153.8169708251953
298,120.94465637207031
299,121.07719421386719
300,196.5994873046875
301,251.74127197265625
302,122.0792236328125
303,142.05677795410156
304,184.4729461669922
305,120.88540649414062
306,288.4021911621094
307,240.47314453125
308,202.30331420898438
309,121.22993469238281
310,120.60858154296875
311,146.8316650390625
312,120.41854858398438
313,174.6259002685547
314,121.92179870605469
315,226.76890563964844
316,180.6739044189453
317,125.39460754394531
318,406.0727844238281
319,123.31016540527344
320,214.99510192871094
321,121.37226867675781
322,122.40382385253906
323,190.17274475097656
324,123.72987365722656
325,121.79405212402344
326,121.298828125
327,145.7165069580078
328,121.72764587402344
329,598.6930541992188
330,122.38589477539062
331,121.97038269042969
332,221.4178466796875
333,123.91229248046875
334,121.80290222167969
335,161.98475646972656
336,122.22221374511719
337,121.28977966308594
338,134.45297241210938
339,122.47677612304688
340,121.93998718261719
341,138.332763671875
342,154.9451446533203
343,122.11289978027344
344,144.71360778808594
345,122.49310302734375
346,121.47430419921875
347,140.31956481933594
348,135.37750244140625
349,133.96026611328125
350,187.2909698486328
351,121.72518920898438
352,171.92918395996094
353,121.8096923828125
354,137.34889221191406
355,151.28489685058594
356,122.01165771484375
357,181.70712280273438
358,137.98727416992188
359,136.7673797607422
360,224.7537384033203
361,122.93226623535156
362,154.41598510742188
363,341.6089172363281
364,186.10035705566406
365,121.61703491210938
366,133.02540588378906
367,142.3860321044922
368,146.40216064453125
369,139.37461853027344
370,127.58218383789062
371,121.71076965332031
372,121.43914794921875
373,172.981689453125
374,179.09107971191406
375,165.9298095703125
376,159.70993041992188
377,223.79689025878906
378,140.34764099121094
379,138.48837280273438
380,256.3531494140625
381,215.00946044921875
382,136.4212646484375
383,151.46449279785156
384,278.6892395019531
385,135.0035858154297
386,123.1348876953125
387,335.9395751953125
388,170.46287536621094
389,205.49227905273438
390,313.8101501464844
391,136.61570739746094
392,225.3216094970703
393,217.80580139160156
394,123.45135498046875
395,145.66009521484375
396,121.98243713378906
397,204.05796813964844
398,236.3697052001953
399,146.0677032470703
400,166.67620849609375
401,132.27162170410156
402,144.3383331298828
403,191.13510131835938
404,143.78053283691406
405,328.59130859375
406,121.26914978027344
407,127.612060546875
408,318.1037902832031
409,576.923583984375
410,147.8671417236328
411,147.1801300048828
412,132.27017211914062
413,142.8056182861328
414,194.11050415039062
415,162.56686401367188
416,122.39564514160156
417,194.2266387939453
418,154.3606719970703
419,121.73062133789062
420,472.113525390625
421,122.256103515625
422,132.11749267578125
423,210.00347900390625
424,138.573486328125
425,144.19288635253906
426,122.13650512695312
427,239.45834350585938
428,123.9681396484375
429,174.3888397216797
430,154.84095764160156
431,159.27760314941406
432,164.99496459960938
433,122.20307922363281
434,224.00425720214844
435,158.25595092773438
436,122.15426635742188
437,138.53622436523438
438,132.1685028076172
439,122.36196899414062
440,120.99795532226562
441,135.32745361328125
442,153.7266387939453
443,143.01922607421875
444,198.78321838378906
445,140.0556182861328
446,140.5526580810547
447,146.4718017578125
448,426.8826904296875
449,132.86611938476562
450,121.86079406738281
451,138.8751678466797
452,136.04835510253906
453,121.86116027832031
454,162.09906005859375
455,147.8018341064453
456,183.29010009765625
457,139.2417449951172
458,122.53691101074219
459,122.17416381835938
460,130.9395294189453
461,139.2417449951172
462,139.2417449951172
463,162.71511840820312
464,178.15040588378906
465,121.9990234375
466,144.88319396972656
467,144.08457946777344
468,135.695556640625
469,122.04054260253906
470,122.57017517089844
471,121.9990234375
472,236.82301330566406
473,152.6273651123047
474,136.04470825195312
475,435.0245056152344
476,142.1690673828125
477,122.13270568847656
478,124.85049438476562
479,141.66278076171875
480,122.05632019042969
481,138.65415954589844
482,153.9225311279297
483,140.33233642578125
484,205.03819274902344
485,181.53663635253906
486,122.04559326171875
487,151.43338012695312
488,167.6152801513672
489,123.33099365234375
490,151.77548217773438
491,197.09384155273438
492,121.18183898925781
493,122.03990173339844
494,128.50006103515625
495,121.73554992675781
496,122.46647644042969
497,194.3491973876953
498,234.16578674316406
499,133.44927978515625
500,159.831298828125
501,122.36668395996094
502,149.2828369140625
503,165.9979248046875
504,214.01625061035156
505,128.5966033935547
506,144.5936737060547
507,179.41754150390625
508,171.46827697753906
509,181.62574768066406
510,125.92120361328125
511,155.5926971435547
